food_name,calories,protein_g,carbs_g,fat_g,price_tier,allergens,diet_tags,cuisine
white rice,205,4.3,45,0.4,low,none,vegan;vegetarian;gluten_free,indian
brown rice,216,5,45,1.8,low,none,vegan;vegetarian;gluten_free,indian
roti,120,3,18,3.5,low,gluten,vegetarian,indian
paneer curry,265,14,10,18,medium,dairy,vegetarian,indian
dal (lentil curry),180,12,25,4,low,none,vegan;vegetarian;gluten_free,indian
grilled chicken breast,165,31,0,3.6,medium,none,gluten_free,general
chicken curry,280,22,8,17,medium,none,gluten_free,indian
fried chicken,320,20,15,20,medium,none,none,general
peanut butter toast,280,10,28,14,low,gluten;peanuts,vegetarian,general
almond milk,60,1,8,2.5,medium,tree_nuts,vegan;vegetarian;gluten_free,general
milk (dairy),150,8,12,8,low,dairy,vegetarian;gluten_free,general
egg omelette,220,14,2,16,low,eggs,gluten_free,general
mixed salad,120,4,15,5,low,none,vegan;vegetarian;gluten_free,general
samosa,260,5,28,14,low,gluten,vegetarian,indian
pizza slice,285,12,36,10,medium,dairy;gluten,vegetarian,italian
burger (beef),354,20,29,17,medium,gluten;dairy,none,general
veggie burger,290,12,35,10,medium,gluten,vegan;vegetarian,general
banana,105,1.3,27,0.4,low,none,vegan;vegetarian;gluten_free,general
apple,95,0.5,25,0.3,low,none,vegan;vegetarian;gluten_free,general
oats porridge,150,5,27,3,low,gluten,vegan;vegetarian,general
greek yogurt,100,17,6,0.4,medium,dairy,vegetarian;gluten_free,general
chole (chickpea curry),210,10,30,6,low,none,vegan;vegetarian;gluten_free,indian
paratha,260,6,33,11,low,gluten;dairy,vegetarian,indian
fish curry,240,25,6,13,medium,fish,gluten_free,indian
soda (sugary drink),150,0,39,0,low,none,vegan;vegetarian;gluten_free,general
protein shake,180,25,8,3,medium,dairy,vegetarian;gluten_free,general
